"","SgAvWD","SgAvTG","SgTtRRadj","SgGDDadj","BrAvWD","BrAvTG","BrTtRRadj","BrGDDadj","QuAvWD","QuAvTG","QuTtRRadj","QuGDDadj","Year","Month","STAvWD","STAvTG","STTtRRadj","STGDDadj","STNSWD","STEWWD","Time"
"1",4.5881847814422,6.18660637017059,90.9672600861548,44.8391603630745,4.57629440413969,5.77714337995878,90.7912144369559,35.5868737648025,4.36876872660848,5.29532825102367,101.59736074629,26.6805510128949,"1980","01",12.4597222218667,3.93709677419355,97.7,5.9,-1.48471174070219,0.447291044354381,0.0416666666666667
"2",4.10720526624644,6.76180639608008,64.8495793640227,61.1524604530521,4.15584936239371,6.38426416100421,69.4645434391137,51.80624813032,3.93955108629371,5.79156447797326,67.2941569100849,39.313579493782,"1980","02",10.6034482754138,4.83275862068966,46.4,28.9,-3.40929077966975,-0.348310433049957,0.125
"3",3.95547559560918,6.03425288124911,63.5464431795405,38.4907243039672,4.02729113436741,5.66848770078332,62.1789912443977,29.103244541595,3.81816040702714,5.0856236640924,56.8821391510056,16.8301522463973,"1980","03",10.9107643758065,4.41612903225806,58.5,10.45,-2.03867209339043,0.502741124778968,0.208333333333333
"4",3.39686139767787,8.35578515269067,32.94090739117,99.1849444939643,3.17398373526821,7.90946450160947,32.3836374239826,86.2371925217499,3.33879452112425,7.54716848963886,38.7221793489041,75.5948944089693,"1980","04",10.6083333334667,7.54,20.4,76.65,-0.874765367389008,-3.04293696837901,0.291666666666667
"5",2.77290126332656,9.84468546307464,25.924386606585,148.099492127806,2.843291866226,9.52202026828262,7.70756570203216,138.991897109521,2.77440424154038,9.13677657348354,11.5133173689101,128.063559644569,"1980","05",8.72177419351613,9.70322580645161,28.5,145.8,1.33509558947292,1.4932476825316,0.375
"6",2.85478011914805,11.17525222592,47.0719273660535,187.968580447594,2.93643567516558,10.8852999441551,34.4635683394969,179.222312804782,2.92352332832874,10.5322716901876,42.3956689937059,168.411443547152,"1980","06",9.86944444493333,11.4066666666667,66.7,192.2,0.727556642564136,-0.160315252496531,0.458333333333333
"7",3.03048559000684,11.8510972000005,75.5496119624647,212.100529792723,3.2808198714781,11.6430682235045,62.9579092816424,205.828064822141,3.12064201711031,11.2336059709302,70.7701030391037,194.344523916063,"1980","07",10.4126344085484,12.15,115.8,221.65,0.293191370901454,0.89793902392983,0.541666666666667
"8",2.71417165872301,13.1064083993733,50.3803387138633,249.138565379132,2.82761991702471,12.8707001096039,39.105092295343,241.785295373663,2.77519677812271,12.4368394120937,44.0579037373428,228.936089298997,"1980","08",8.37365591354839,13.1129032258065,57,251.5,-0.173108935130225,0.0464139912102802,0.625
"9",3.69808479328834,12.4506889962468,116.757131678077,226.332562043354,3.90192120327153,12.2922160322572,119.124858438615,220.283216207927,3.7038328713235,11.7437941397669,124.226368520478,203.263363682746,"1980","09",11.1708333331,12.1366666666667,170.8,214.1,-3.41724413837982,-1.31482264508939,0.708333333333333
"10",4.25233943819206,9.09336318969365,129.805937450938,124.71734409442,4.07524693135763,8.75761058661806,123.016774674618,115.066998215257,4.10731164143222,8.33796002539535,140.980038216246,103.009529930677,"1980","10",12.7715053764516,7.64032258064516,202.5,85.55,0.132610860259833,-1.15537275531364,0.791666666666667
"11",4.25121130563137,8.01437487183321,130.96951544248,94.7831622766461,4.00337396426394,7.62334980753294,120.713374125589,84.615998293496,4.04283830219237,7.16619569221157,141.254429638452,72.8606605298437,"1980","11",11.6958333332,5.99166666666667,207.4,49.15,0.227469191193139,-0.546037634835162,0.875
"12",4.59825836908991,7.58313989544037,113.316190007376,81.3974323769909,4.15906507567599,7.05555597627287,119.582375311497,68.1211052889485,4.40247158186061,6.73039382466417,148.762652792745,60.6814807534528,"1980","12",13.3508064523871,5.32741935483871,150.9,34.3,-1.30289911217173,-4.6658672930023,0.958333333333333
"13",5.05652722622615,6.49780584553073,117.34767070583,59.4638963527989,4.81797013626216,5.92444606315726,132.016448734356,47.4924613418818,4.93788593282057,5.70430441381447,170.299556087212,47.8390084830325,"1981","01",15.982526882129,4.28387096774194,136.7,33.8,-1.58042895724498,-4.83561923715463,1.04166666666667
"14",5.32323578084845,5.96727146923969,104.073077811244,38.9913802697578,5.63493359212531,5.64830651476978,128.117214347681,31.6378246760083,5.19694536588574,5.1169827846369,129.42790235357,22.3403053150186,"1981","02",16.08184523725,4.24107142857143,87.5,12.5,-5.64153780864521,-1.66338984513539,1.125
"15",4.23641170240509,6.58466681329258,80.0035138705679,54.7942605184997,4.32015772594762,6.19533397815362,79.4163518388896,45.5876493206651,4.12970482330752,5.777647628476,90.5090581369263,37.4233511538975,"1981","03",12.8663510984839,5.27258064516129,96,35.05,-1.26778444995423,-0.0557400179261144,1.20833333333333
"16",3.25069270930693,7.23246251433379,34.9007224348772,70.7470220837481,3.01948590093164,6.75510887427583,22.1965265291413,58.1940366511071,3.17201126016177,6.40156712268265,31.265031089736,50.1100820005012,"1981","04",9.9902777777,6.13333333333333,34.9,50.05,1.5386649391848,-0.79171311313186,1.29166666666667
"17",3.07656913577145,9.94336453866442,33.8708465066199,153.49234728314,3.46854958588564,9.73821099639094,21.8080479214216,147.532401444975,3.09612145775814,9.24560518318907,15.4527191943535,134.643724050935,"1981","05",9.53091397845161,9.98548387096774,25.4,157.75,-0.601898400020008,3.00343190753349,1.375
