Year,Month,BrAvTG,BrAvWD,BrGDDadj,BrTtRRadj,QuAvTG,QuAvWD,QuGDDadj,QuTtRRadj,SgAvTG,SgAvWD,SgGDDadj,SgTtRRadj,STAvWD,STAvTG,STTtRRadj,STGDDadj,STNSWD,STEWWD,Time
2001,7,10.60064516,3.059032258,173.62,69.543,11.54354839,2.728064516,202.85,85.2,12.44548387,2.87,230.81,75.844,8.699074074,12.52741935,141.67,233.35,0.493227658,0.935769398,21.54166667
2001,8,12.35,3.707096774,227.85,95.681,13.01935484,3.268064516,248.6,116,13.89677419,3.14516129,275.8,98.302,8.458333333,13.90645161,150.9,276.1,-1.905791086,-1.113561965,21.625
2001,9,11.96166667,3.033333333,208.85,82.012,11.707,3.448666667,201.21,120.2,12.41466667,3.406666667,222.44,109.145,7.147058823,11.58666667,188.8,197.6,0.844539573,1.237544573,21.70833333
2001,10,11.58064516,4.690967742,204,175.685,11.32903226,4.326451613,196.2,246,12.16774194,4.416451613,222.2,218.086,NA,11.24032258,361.6,193.45,NA,NA,21.79166667
2001,11,8.533666667,4.026333333,108.03,114.379,8.194666667,4.081333333,98.66,174.8,9.143333333,4.506,125.17,146.365,NA,7.296666667,204.4615385,72.8,NA,NA,21.875
2001,12,6.949032258,3.889032258,72.47,114.367,6.625686564,3.98483871,63.21548705,167.8,7.488387097,4.256774194,84.84,121.143,NA,4.6,207.8409091,25.15,NA,NA,21.95833333
2002,1,7.899032258,6.196774194,92.22,161.203,7.626934796,5.146774194,86.0724202,207.6,8.536129032,5.297096774,111.3,181.828,NA,6.669354839,373.9241379,60.05,NA,NA,22.04166667
2002,2,6.269642857,5.116071429,43.16,149.339,5.994231118,4.886428571,35.83915036,312.8,6.905357143,5.43,58.62,198.19,NA,4.696428571,344.4,15.65,NA,NA,22.125
2002,3,6.836451613,5.119354839,60.38,99.895,6.536393541,4.567096774,53.04933688,146.2,7.421935484,4.659032258,76.27,129.632,NA,6.15,195.3,44.3,NA,NA,22.20833333
2002,4,8.245,3.915333333,97.35,113.977,7.895908508,3.84,88.85810499,130.2,8.729666667,4.085,111.89,122.523,NA,8.278333333,149,99.1,NA,NA,22.29166667
2002,5,9.766774194,3.36483871,147.77,61.508,9.421685733,3.311935484,138.9087853,83.4,10.25451613,3.344516129,162.89,78.802,NA,10.08064516,114.8,157.5,NA,NA,22.375
2002,6,11.36133333,3.793,190.84,126.834,11.03978993,3.621666667,181.7909787,160.4,11.89033333,3.569333333,206.71,147.738,NA,12.50666667,212.2,225.2,NA,NA,22.45833333
2002,7,12.1516129,2.847741935,221.7,96.887,11.5697722,2.522258065,202.5422487,119.6,12.62935484,2.650645161,236.51,110.524,8.705576559,12.49677419,201.6,232.4,-0.770200557,-1.779905206,22.54166667
2002,8,13.14,3.468387097,252.34,50.051,13.01419833,3.176451613,245.8880167,62.2,13.73064516,3.134193548,270.65,56.731,7.981175173,13.8,87.2,272.8,-1.496559332,-1.435414335,22.625
2002,9,12.83366667,3.38,235.01,86.236,12.54766667,3.044666667,226.43,107.4,13.468,2.933666667,254.04,71.61927495,9.46,12.77833333,92.45454545,233.35,-1.082618199,-1.527372296,22.70833333
2002,10,9.621290323,3.709354839,143.26,84.619,9.285806452,3.762580645,132.86,106.8,10.22193548,4.10483871,161.88,114.3061971,10.79252588,8.675806452,175.8733333,117.25,-0.338584999,0.076613486,22.79166667
2002,11,9.081666667,5.381666667,122.45,146.736,8.703666667,5.05,111.11,158.8,9.773,5.663333333,143.19,164.1,14.18388105,8.275,184,99.4,-2.985088089,2.624548236,22.875
2002,12,7.105483871,3.712580645,68.79,50.853,6.997419355,3.333225806,63.48,57.2,7.994193548,3.734516129,92.82,57.526,10.16725294,5.553225806,57.6,35.4,-2.374456719,1.924733867,22.95833333
2003,1,6.64483871,5.084193548,58.59,145.725,6.260322581,4.551290323,49.16,274.6,7.218709677,5.037419355,72.82,177.099,15.54166667,4.817741935,303.6,35.25,-0.441534907,-2.573207749,23.04166667
2003,2,6.889642857,5.578928571,56.44,82.206,6.2,5.51,44.14,84.8,7.283571429,6.176071429,69.22,79.979,15.02678571,5.482142857,110.8,34.05,-5.013059712,-1.366825207,23.125
2003,3,8.447096774,4.640322581,106.86,88.844,7.524193548,3.863548387,78.25,99.4,8.524193548,3.892903226,109.25,99.672,13.08924071,6.953225806,140.6,62.55,-4.300185166,-2.956598949,23.20833333
2003,4,9.331,3.142333333,129.93,40.804,8.506333333,3.071,105.19,44.8,9.882666667,3.089,146.48,52.988,9.289855073,9.53,75.8,135.9,-1.10320768,0.365322271,23.29166667
2003,5,9.332903226,3.489032258,134.32,92.871,7.762903226,3.36,85.65,119.2,9.629677419,3.275806452,143.52,115.835,11.30387931,9.290322581,215.9,133,-2.047326498,-0.87304924,23.375
2003,6,12.14566667,4.017666667,214.37,67.934,11.50433333,3.658,195.13,85.2,12.35166667,3.544,220.55,85.098,10.67638889,13.28666667,133.6,248.6,-2.974445334,-0.850077202,23.45833333
2003,7,14.31354839,3.208709677,288.72,96.675,13.95032258,2.942580645,277.46,113,14.53483871,2.85483871,295.58,111.693,9.424404762,14.97333333,107.7,309.1733333,-2.055997156,-0.843177274,23.54166667
2003,8,14.37225806,3.151935484,290.54,51.262,13.40290323,2.847741935,260.49,58.4,14.59258065,2.949354839,297.37,52.598,8.670138889,14.63548387,101.2,298.7,-0.994039177,-1.247299168,23.625
2003,9,12.58833333,3.903666667,227.65,144.725,11.94933333,3.552,208.48,161.2,12.81966667,3.481666667,234.59,132.5571429,NA,11.98166667,97,209.45,NA,NA,23.70833333
2003,10,9.660967742,3.530322581,144.49,65.525,8.580645161,4.107096774,112.22,91.2,9.939032258,4.441935484,153.11,151.8846377,8.308333334,8.224193548,282.4,100.6,-0.509813192,0.063613921,23.79166667
2003,11,9.193,4.446,125.79,182.735,7.966,4.218,89.64,181,9.381333333,4.650666667,131.44,188.129,13.13793103,8.03,206.4,92.85,-4.3656544,-1.548519169,23.875
2003,12,7.311290323,4.02516129,77.95,149.352,6.764193548,4.034193548,64.63,161.6,7.796129032,4.260322581,90.01,152.086,12.03833333,5.085483871,109.616,34.8,-1.63014559,-2.954087284,23.95833333
2004,1,6.859354839,3.885483871,64.32,207.833,6.332903226,3.993548387,51.07,249.6,7.631612903,4.154193548,84.44,240.735,12.31503527,4.909677419,478.2,31.75,-1.644939606,-3.776552842,24.04166667
2004,2,6.584137931,4.186551724,64.73,99.699,6.035517241,3.977241379,53.2,184.4,7.136206897,4.096896552,74.72,113.474,12.39703425,4.718965517,212.3214286,28.2,-1.402505221,-3.646909635,24.125
2004,3,7.386451613,4.619032258,74.96,96.891,6.806129032,4.619354839,58.77,107.6,7.860967742,4.842580645,88.69,98.689,13.27512077,6.321666667,116.8,44.33,-3.36360214,-1.693765099,24.20833333
2004,4,8.469,4.117666667,104.07,112.561,7.859333333,4.044666667,85.78,114.8,8.840333333,4.005666667,115.21,122.318,12.98717949,8.181666667,155.2,95.8,-1.835246362,-1.257667171,24.29166667
2004,5,8.833548387,3.037096774,118.84,48.436,9.173870968,3.05483871,129.39,64,10.03419355,3.396129032,156.06,80.973,10.96327485,10.10666667,76.30769231,158.3066667,-0.34741657,-1.818880792,24.375
2004,6,10.83,3.168333333,174.9,75.368,11.11233333,3.130666667,183.37,88.8,12.14066667,3.299,214.22,87.861,11.807041,12.23333333,157.6,217,0.336134564,-2.986769133,24.45833333
2004,7,11.9816129,2.888387097,216.43,60.506,12.27806452,2.826129032,225.62,72,13.29709677,2.737741935,257.21,61.721,9.334722222,13.19193548,118.8,253.95,-1.56901287,-1.209274154,24.54166667
2004,8,13.53580645,3.449354839,264.61,107.338,13.92032258,3.279354839,276.53,133.4,14.52096774,3.133225806,295.15,119.376,11.72557471,14.47903226,193.6,293.85,1.353955718,1.661088272,24.625
2004,9,11.56233333,3.949333333,196.87,165.223,11.942,3.906,208.26,199.8,12.386,3.874666667,221.58,174.755,12.97701149,12.03,262,210.9,-2.673482721,-3.350605472,24.70833333
2004,10,8.639032258,3.895806452,112.9,174.686,9.005806452,3.711290323,124.18,224.4,9.779677419,4.039032258,148.17,207.628,11.73706897,8.830645161,287.2,118.75,-0.133951484,0.320655113,24.79166667
2004,11,7.705,4.036333333,88.61,151.955,8.111333333,4.099666667,99.71,218.4,9.184333333,4.309666667,128.35,181.631,13.10277778,7.558333333,235.4,88.15,-1.624448867,-4.40339592,24.875
2004,12,6.841935484,5.295806452,65.95,155.372,7.280322581,5.113870968,76.83,233.8,8.342903226,5.012258065,105.05,168.228,15.67269921,6.09516129,267.2,55.75,-3.59883104,-5.287341695,24.95833333
2005,1,6.026451613,4.866774194,40.71,274.54,6.493548387,5.455483871,52.24,345.96,7.553225806,5.604516129,80.79,263.369,16.4389881,5.637096774,325.4,39.5,-1.890433309,-5.839599246,25.04166667
2005,2,4.958214286,4.127857143,15.7,76.182,5.393571429,4.121785714,22.43,125.2363636,6.473571429,4.327142857,43.54,75.446,13.57371795,4.355357143,169.8,12.55,1.151301202,-2.539039363,25.125
2005,3,6.417419355,3.579032258,58.14,79.002,6.860322581,3.727419355,69.08,96.4,7.813225806,3.732580645,92.7,91.604,11.94033816,6.598387097,196.6,67.85,0.635375977,-0.543947897,25.20833333
2005,4,6.834666667,3.952333333,60.11,63.32,7.254,3.741666667,71.9,101.4,8.277,3.932333333,100.43,95.742,13.92893112,7.483333333,219.3,82.25,-1.131189719,0.257605471,25.29166667
2005,5,7.611935484,3.322580645,80.97,70.953,7.963548387,3.346129032,91.87,107.2,8.938387097,3.481290323,122.09,102.64,10.32537879,8.403225806,107.9259259,105.9,1.392801034,-0.720640806,25.375
